step,train_loss,val_loss,seconds
0,4.3305,4.3208,2.0
250,2.2932,2.3261,19.2
500,1.8539,1.9754,36.1
750,1.6467,1.8207,53.6
1000,1.5170,1.7127,70.5
1250,1.4286,1.6329,87.6
1500,1.3709,1.5904,105.1
1750,1.3266,1.5470,123.0
2000,1.2859,1.5342,140.4
2250,1.2534,1.5165,157.5
2500,1.2253,1.4975,174.5
2750,1.1960,1.4891,193.2
3000,1.1764,1.4849,210.3
3250,1.1474,1.4688,227.2
3500,1.1261,1.4689,244.2
3750,1.0999,1.4815,261.0
4000,1.0797,1.4899,278.1
4250,1.0612,1.4868,296.5
4500,1.0354,1.4796,313.8
4750,1.0190,1.4915,331.5
5000,0.9983,1.5077,348.5
